t-59,t-58,t-57,t-56,t-55,t-54,t-53,t-52,t-51,t-50,t-49,t-48,t-47,t-46,t-45,t-44,t-43,t-42,t-41,t-40,t-39,t-38,t-37,t-36,t-35,t-34,t-33,t-32,t-31,t-30,t-29,t-28,t-27,t-26,t-25,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0,alvo
105723.34,105746.85,105758.25,105767.64,105747.25,105754.44,105754.46,105770.23,105759.35,105764.87,105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91
105746.85,105758.25,105767.64,105747.25,105754.44,105754.46,105770.23,105759.35,105764.87,105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91,105944.68
105758.25,105767.64,105747.25,105754.44,105754.46,105770.23,105759.35,105764.87,105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91,105944.68,105914.49
105767.64,105747.25,105754.44,105754.46,105770.23,105759.35,105764.87,105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91,105944.68,105914.49,105901.78
105747.25,105754.44,105754.46,105770.23,105759.35,105764.87,105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91,105944.68,105914.49,105901.78,105901.43
105754.44,105754.46,105770.23,105759.35,105764.87,105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91,105944.68,105914.49,105901.78,105901.43,105868.5
105754.46,105770.23,105759.35,105764.87,105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91,105944.68,105914.49,105901.78,105901.43,105868.5,105845.93
105770.23,105759.35,105764.87,105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91,105944.68,105914.49,105901.78,105901.43,105868.5,105845.93,105868.5
105759.35,105764.87,105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91,105944.68,105914.49,105901.78,105901.43,105868.5,105845.93,105868.5,105853.69
105764.87,105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91,105944.68,105914.49,105901.78,105901.43,105868.5,105845.93,105868.5,105853.69,105851.28
105784.01,105840.74,105853.58,105827.0,105848.14,105906.59,105915.63,105909.56,105905.77,105941.23,105957.25,105942.23,106014.5,105938.82,105894.17,105888.88,105867.18,105870.6,105850.08,105764.89,105771.41,105771.46,105773.33,105832.58,105821.83,105829.01,105831.61,105863.8,105915.64,105916.05,105900.01,105919.75,105990.16,105965.56,105975.94,106017.52,106021.65,106105.44,106103.28,106077.1,106034.24,105957.61,106000.86,106006.29,105957.63,105900.7,105941.46,105862.63,105919.79,105931.7,105879.91,105944.68,105914.49,105901.78,105901.43,105868.5,105845.93,105868.5,105853.69,105851.28,105818.89
